montain;10;10;10;10;10;10;10;10;10;10;9;9;3;3;0
;10;10;9;8;7;6;5;4;3;9;9;9;3;3;0
;3;3;3;3;3;6;6;3;3;3;3;3;3;3;0
;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0
;3;3;3;3;3;3;3;3;3;3;3;3;2;1;0
;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0
;3;3;3;3;3;4;3;3;3;3;3;3;3;3;0
;3;3;3;3;3;5;3;3;3;3;3;3;3;3;0
;3;3;3;3;3;3;3;3;2;3;3;3;3;3;0
;3;3;3;3;3;3;3;2;1;2;3;3;3;3;0
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;3;1;1;1;1;1;3;3;3;3;3;3;3;2;0
;3;3;3;2;2;3;3;3;3;3;3;3;3;1;0
;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
plain;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
